LOCAL,VISITA,GL,EM,GV
U.La Calera (Chile),Palestino (Chile),1,0,0
Coquimbo Unido (Chile),U.Católica (Chile),0,0,1
Iquique (Chile),Curicó Unido (Chile),0,1,0
U.de Chile (Chile),Cobresal (Chile),0,1,0
U.de Concepción (Chile),Everton (Chile),0,1,0
Huachipato (Chile),O'Higgins (Chile),1,0,0
U.Española (Chile),Colo Colo (Chile),0,0,1
Audax Italiano (Chile),Antofagasta (Chile),0,0,1
Antofagasta (Chile),U.Española (Chile),0,0,1
Colo Colo (Chile),U.de Concepción (Chile),1,0,0
Everton (Chile),U.La Calera (Chile),0,0,1
O'Higgins (Chile),U.de Chile (Chile),1,0,0
Curicó Unido (Chile),Coquimbo Unido (Chile),0,1,0
Cobresal (Chile),Audax Italiano (Chile),0,0,1
Palestino (Chile),Huachipato (Chile),1,0,0
U.Católica (Chile),Iquique (Chile),0,0,1
U.de Concepción (Chile),Antofagasta (Chile),0,1,0
Audax Italiano (Chile),U.Católica (Chile),0,0,1
Iquique (Chile),O'Higgins (Chile),0,0,1
U.Española (Chile),Palestino (Chile),1,0,0
U.de Chile (Chile),Huachipato (Chile),1,0,0
Coquimbo Unido (Chile),Everton (Chile),1,0,0
Curicó Unido (Chile),Colo Colo (Chile),0,0,1
U.La Calera (Chile),Cobresal (Chile),1,0,0
O'Higgins (Chile),Coquimbo Unido (Chile),1,0,0
U.de Chile (Chile),U.Española (Chile),0,0,1
Huachipato (Chile),Audax Italiano (Chile),1,0,0
Palestino (Chile),U.de Concepción (Chile),1,0,0
U.Católica (Chile),U.La Calera (Chile),1,0,0
Everton (Chile),Iquique (Chile),1,0,0
Cobresal (Chile),Colo Colo (Chile),0,1,0
Antofagasta (Chile),Curicó Unido (Chile),0,1,0
Curicó Unido (Chile),Cobresal (Chile),1,0,0
U.Española (Chile),Huachipato (Chile),1,0,0
Iquique (Chile),Palestino (Chile),0,1,0
U.de Concepción (Chile),U.de Chile (Chile),1,0,0
Audax Italiano (Chile),O'Higgins (Chile),0,1,0
Colo Colo (Chile),U.Católica (Chile),0,0,1
Coquimbo Unido (Chile),U.La Calera (Chile),0,1,0
Everton (Chile),Antofagasta (Chile),1,0,0
Everton (Chile),Cobresal (Chile),1,0,0
U.Católica (Chile),Curicó Unido (Chile),0,1,0
O'Higgins (Chile),U.Española (Chile),0,0,1
Colo Colo (Chile),Iquique (Chile),1,0,0
Palestino (Chile),Audax Italiano (Chile),0,0,1
Huachipato (Chile),Coquimbo Unido (Chile),0,1,0
U.La Calera (Chile),U.de Concepción (Chile),1,0,0
Antofagasta (Chile),U.de Chile (Chile),1,0,0
Coquimbo Unido (Chile),Colo Colo (Chile),1,0,0
Huachipato (Chile),Cobresal (Chile),1,0,0
U.de Chile (Chile),U.La Calera (Chile),0,1,0
U.de Concepción (Chile),Audax Italiano (Chile),1,0,0
U.Española (Chile),Curicó Unido (Chile),1,0,0
Everton (Chile),U.Católica (Chile),0,0,1
Iquique (Chile),Antofagasta (Chile),1,0,0
Palestino (Chile),O'Higgins (Chile),0,1,0
U.Católica (Chile),U.de Chile (Chile),1,0,0
Curicó Unido (Chile),Everton (Chile),0,1,0
Cobresal (Chile),U.de Concepción (Chile),1,0,0
Audax Italiano (Chile),Coquimbo Unido (Chile),1,0,0
Antofagasta (Chile),Palestino (Chile),0,0,1
Iquique (Chile),U.Española (Chile),1,0,0
U.La Calera (Chile),Huachipato (Chile),1,0,0
Colo Colo (Chile),O'Higgins (Chile),1,0,0
Antofagasta (Chile),Coquimbo Unido (Chile),0,0,1
Huachipato (Chile),Colo Colo (Chile),0,1,0
Audax Italiano (Chile),U.La Calera (Chile),0,1,0
O'Higgins (Chile),Cobresal (Chile),1,0,0
Palestino (Chile),U.Católica (Chile),0,0,1
U.de Chile (Chile),Curicó Unido (Chile),0,1,0
U.de Concepción (Chile),Iquique (Chile),1,0,0
U.Española (Chile),Everton (Chile),0,0,1
U.La Calera (Chile),O'Higgins (Chile),1,0,0
U.Española (Chile),Audax Italiano (Chile),0,0,1
Iquique (Chile),Cobresal (Chile),0,0,1
Colo Colo (Chile),Antofagasta (Chile),1,0,0
Curicó Unido (Chile),Huachipato (Chile),1,0,0
Everton (Chile),U.de Chile (Chile),0,1,0
U.Católica (Chile),U.de Concepción (Chile),1,0,0
Coquimbo Unido (Chile),Palestino (Chile),0,1,0
Palestino (Chile),Everton (Chile),1,0,0
Audax Italiano (Chile),U.de Chile (Chile),1,0,0
Huachipato (Chile),Iquique (Chile),0,1,0
Coquimbo Unido (Chile),U.Española (Chile),1,0,0
U.La Calera (Chile),Colo Colo (Chile),0,1,0
Cobresal (Chile),Antofagasta (Chile),0,1,0
U.de Concepción (Chile),Curicó Unido (Chile),0,0,1
O'Higgins (Chile),U.Católica (Chile),1,0,0
Everton (Chile),Audax Italiano (Chile),0,0,1
Iquique (Chile),U.La Calera (Chile),1,0,0
Antofagasta (Chile),Huachipato (Chile),0,0,1
Curicó Unido (Chile),O'Higgins (Chile),1,0,0
Cobresal (Chile),U.Católica (Chile),0,0,1
Colo Colo (Chile),Palestino (Chile),1,0,0
U.de Chile (Chile),Coquimbo Unido (Chile),0,1,0
U.Española (Chile),U.de Concepción (Chile),1,0,0
U.de Chile (Chile),Colo Colo (Chile),0,1,0
Audax Italiano (Chile),Curicó Unido (Chile),1,0,0
U.La Calera (Chile),U.Española (Chile),0,0,1
U.Católica (Chile),Antofagasta (Chile),1,0,0
Coquimbo Unido (Chile),Iquique (Chile),0,1,0
Palestino (Chile),Cobresal (Chile),1,0,0
Huachipato (Chile),U.de Concepción (Chile),1,0,0
O'Higgins (Chile),Everton (Chile),1,0,0
Iquique (Chile),U.de Chile (Chile),0,0,1
Everton (Chile),Huachipato (Chile),0,1,0
Cobresal (Chile),Coquimbo Unido (Chile),1,0,0
Colo Colo (Chile),Audax Italiano (Chile),1,0,0
Curicó Unido (Chile),Palestino (Chile),0,1,0
Antofagasta (Chile),U.La Calera (Chile),0,1,0
U.de Concepción (Chile),O'Higgins (Chile),0,1,0
U.Católica (Chile),U.Española (Chile),0,1,0
Palestino (Chile),U.de Chile (Chile),0,1,0
Coquimbo Unido (Chile),U.de Concepción (Chile),0,1,0
O'Higgins (Chile),Antofagasta (Chile),0,0,1
Audax Italiano (Chile),Iquique (Chile),1,0,0
Huachipato (Chile),U.Católica (Chile),0,0,1
U.La Calera (Chile),Curicó Unido (Chile),1,0,0
U.Española (Chile),Cobresal (Chile),0,0,1
Colo Colo (Chile),Everton (Chile),0,1,0
U.Española (Chile),U.La Calera (Chile),0,1,0
Iquique (Chile),Coquimbo Unido (Chile),0,0,1
Cobresal (Chile),O'Higgins (Chile),1,0,0
Huachipato (Chile),Palestino (Chile),0,0,1
U.de Chile (Chile),Audax Italiano (Chile),0,1,0
U.de Concepción (Chile),U.Católica (Chile),0,0,1
Antofagasta (Chile),Everton (Chile),0,1,0
Colo Colo (Chile),Curicó Unido (Chile),0,0,1
Curicó Unido (Chile),U.de Concepción (Chile),1,0,0
Cobresal (Chile),Iquique (Chile),0,0,1
U.de Chile (Chile),Antofagasta (Chile),1,0,0
Everton (Chile),U.Española (Chile),1,0,0
Audax Italiano (Chile),Huachipato (Chile),0,0,1
Palestino (Chile),U.La Calera (Chile),0,1,0
O'Higgins (Chile),Colo Colo (Chile),1,0,0
U.Católica (Chile),Coquimbo Unido (Chile),0,1,0
Colo Colo (Chile),U.Española (Chile),1,0,0
O'Higgins (Chile),Iquique (Chile),1,0,0
Coquimbo Unido (Chile),Curicó Unido (Chile),1,0,0
U.Católica (Chile),Everton (Chile),1,0,0
U.de Concepción (Chile),Huachipato (Chile),0,1,0
U.La Calera (Chile),U.de Chile (Chile),0,1,0
Antofagasta (Chile),Cobresal (Chile),1,0,0
Audax Italiano (Chile),Palestino (Chile),0,0,1
U.Española (Chile),O'Higgins (Chile),0,0,1
Cobresal (Chile),U.La Calera (Chile),1,0,0
Palestino (Chile),Colo Colo (Chile),0,1,0
Everton (Chile),Coquimbo Unido (Chile),0,0,1
Curicó Unido (Chile),Audax Italiano (Chile),0,1,0
U.de Chile (Chile),U.Católica (Chile),0,1,0
Iquique (Chile),U.de Concepción (Chile),0,1,0
Huachipato (Chile),Antofagasta (Chile),1,0,0
U.La Calera (Chile),Everton (Chile),0,1,0
Curicó Unido (Chile),Iquique (Chile),0,0,1
Coquimbo Unido (Chile),U.de Chile (Chile),0,1,0
Audax Italiano (Chile),U.Española (Chile),1,0,0
U.de Concepción (Chile),Palestino (Chile),0,1,0
Antofagasta (Chile),U.Católica (Chile),0,0,1
O'Higgins (Chile),Huachipato (Chile),0,0,1
Colo Colo (Chile),Cobresal (Chile),0,0,1
Huachipato (Chile),Curicó Unido (Chile),1,0,0
Palestino (Chile),Coquimbo Unido (Chile),1,0,0
Iquique (Chile),Audax Italiano (Chile),0,0,1
U.Española (Chile),U.de Chile (Chile),0,1,0
U.de Concepción (Chile),Colo Colo (Chile),1,0,0
Cobresal (Chile),Everton (Chile),1,0,0
U.Católica (Chile),O'Higgins (Chile),0,1,0
U.La Calera (Chile),Antofagasta (Chile),0,0,1
Everton (Chile),U.de Concepción (Chile),1,0,0
Coquimbo Unido (Chile),Antofagasta (Chile),0,1,0
U.de Chile (Chile),Palestino (Chile),0,0,1
Curicó Unido (Chile),U.Católica (Chile),0,0,1
U.Española (Chile),Iquique (Chile),1,0,0
Audax Italiano (Chile),Colo Colo (Chile),0,0,1
Cobresal (Chile),Huachipato (Chile),0,1,0
O'Higgins (Chile),U.La Calera (Chile),1,0,0
Antofagasta (Chile),O'Higgins (Chile),0.42,0.23,0.36
Colo Colo (Chile),U.de Chile (Chile),0.43,0.31,0.27
Coquimbo Unido (Chile),Audax Italiano (Chile),0.44,0.28,0.27
Iquique (Chile),Everton (Chile),0.4,0.29,0.31
Huachipato (Chile),U.La Calera (Chile),0.42,0.3,0.28
Palestino (Chile),Curicó Unido (Chile),0.43,0.36,0.2
U.Católica (Chile),Cobresal (Chile),0.52,0.26,0.21
U.de Concepción (Chile),U.Española (Chile),0.41,0.26,0.33
Antofagasta (Chile),Audax Italiano (Chile),0.43,0.22,0.35
Cobresal (Chile),Palestino (Chile),0.42,0.25,0.33
Colo Colo (Chile),Huachipato (Chile),0.44,0.27,0.28
Everton (Chile),Curicó Unido (Chile),0.38,0.27,0.35
O'Higgins (Chile),U.de Concepción (Chile),0.47,0.22,0.31
U.La Calera (Chile),U.Católica (Chile),0.35,0.29,0.37
U.de Chile (Chile),Iquique (Chile),0.43,0.31,0.27
U.Española (Chile),Coquimbo Unido (Chile),0.38,0.33,0.29
Audax Italiano (Chile),Cobresal (Chile),0.44,0.26,0.31
Coquimbo Unido (Chile),O'Higgins (Chile),0.45,0.28,0.28
Curicó Unido (Chile),Antofagasta (Chile),0.54,0.23,0.24
Iquique (Chile),Huachipato (Chile),0.38,0.27,0.34
Palestino (Chile),U.Española (Chile),0.44,0.29,0.27
U.Católica (Chile),Colo Colo (Chile),0.5,0.24,0.25
U.de Chile (Chile),Everton (Chile),0.43,0.31,0.25
U.de Concepción (Chile),U.La Calera (Chile),0.4,0.23,0.38
Antofagasta (Chile),U.de Concepción (Chile),0.42,0.29,0.29
Cobresal (Chile),U.Española (Chile),0.46,0.25,0.29
Colo Colo (Chile),Coquimbo Unido (Chile),0.4,0.31,0.29
Everton (Chile),Palestino (Chile),0.37,0.3,0.33
Huachipato (Chile),U.de Chile (Chile),0.43,0.29,0.28
O'Higgins (Chile),Curicó Unido (Chile),0.43,0.26,0.31
U.La Calera (Chile),Iquique (Chile),0.47,0.25,0.28
U.Católica (Chile),Audax Italiano (Chile),0.52,0.27,0.21
Audax Italiano (Chile),Everton (Chile),0.46,0.26,0.28
Coquimbo Unido (Chile),Huachipato (Chile),0.43,0.29,0.27
Curicó Unido (Chile),U.La Calera (Chile),0.37,0.38,0.25
Iquique (Chile),Colo Colo (Chile),0.37,0.24,0.39
Palestino (Chile),Antofagasta (Chile),0.42,0.3,0.28
U.de Chile (Chile),O'Higgins (Chile),0.4,0.29,0.31
U.de Concepción (Chile),Cobresal (Chile),0.41,0.25,0.33
U.Española (Chile),U.Católica (Chile),0.35,0.25,0.4
Antofagasta (Chile),Iquique (Chile),0.44,0.26,0.3
Cobresal (Chile),Curicó Unido (Chile),0.42,0.34,0.24
Everton (Chile),Colo Colo (Chile),0.4,0.26,0.33
Huachipato (Chile),U.Española (Chile),0.45,0.24,0.31
O'Higgins (Chile),Audax Italiano (Chile),0.46,0.23,0.3
U.La Calera (Chile),Coquimbo Unido (Chile),0.36,0.33,0.3
U.Católica (Chile),Palestino (Chile),0.49,0.32,0.19
U.de Chile (Chile),U.de Concepción (Chile),0.42,0.31,0.26
